公司名称-1700家,ProfitAbility,信用风险（企业查风险总量数）,营运效率（资产负债率）,管理能力（根据股权占比和公告合理给分）,发展潜力（根据行情直接给分）,技术创新能力（专家打分 先空着）,TotalScore,,,注意,
索力得,-3.42%,68,78.51%,6,13,,79,,,,
宁波公运,1.80%,997,35.62%,12,14,,81,,,,
同益物流,0.22%,168,33.06%,10,6,,82,,,,
德卡科技,6.14%,35,28.31%,13,12,,89,,,,
科列技术,1.43%,320,18.23%,9,11,,78,,,,
森馥科技,0.36%,53,16.20%,13,11,,81,,,,
恒宝通,2.00%,242,18.58%,14,12,,81,,,,
富恒新材,10.17%,278,60.65%,14,13,,92,,,,
美邦科技,11.07%,75,38.52%,10,17,,92,,,,
交控生态,5.05%,41,43.00%,15,14,,91,,,,
菁茂农业,0.37%,133,50.90%,10,10,,79,,,,
天海流体,8.56%,23,48.60%,14,13,,93,,,,
美通筑机,3.47%,110,47.50%,9,11,,86,,,,
星月科技,8.31%,91,69.87%,14,10,,92,,,,
科益气体,5.19%,126,31.45%,9,12,,89,,,,
汇群中药,7.95%,52,41.96%,13,13,,93,,,,
纳科诺尔,14.40%,155,83.13%,10,13,,90,,,,
大亚股份,3.95%,4066,54.67%,7,12,,80,,,,
东宝股份,6.69%,135,37.14%,12,15,,90,,,,
三川田,4.88%,47,57.20%,10,6,,85,,,,
桑尼泰克,5.56%,132,52.46%,12,13,,87,,,,
金宇农牧,-5.31%,104,79.35%,15,12,,80,,,,
爽口源,-3.26%,49,41.49%,10,11,,80,,,,
伟志股份,2.69%,82,38.72%,15,7,,86,,,,
点击网络,7.79%,69,31.06%,15,13,,92,,,,
圣兆药物,-9.38%,106,13.53%,8,13,,77,,,,
泰通科技,0.06%,219,16.82%,12,10,,80,,,,
城光节能,-4.65%,73,47.58%,13,10,,81,,,,
中安股份,-2.44%,43,62.51%,14,9,,81,,,,
三维钢构,5.95%,65,42.82%,11,无数据,,92,,,,
天蓝地绿,4.60%,90,67.24%,12,12,,91,,,,
固泰新材,4.34%,22,16.05%,7,12,,87,,,,
高德信,6.71%,70,26.08%,15,11,,88,,,,
讯众股份,4.97%,179,24.91%,11,11,,88,,,,
天罡股份,7.34%,57,39.47%,11,10,,91,,,,
目乐医疗,8.27%,43,32.90%,12,7,,91,,,,
中奥体育,0.03%,134,20.16%,11,14,,83,,,,
方盛股份,9.50%,50,38.60%,13,13,,92,,,,
数亮科技,12.42%,1319,15.64%,11,11,,86,,,,
天运股份,17.16%,817,71.22%,13,11,,88,,,,
华洋科技,-3.07%,20,41.24%,13,9,,81,,,,
维冠机电,5.79%,73,32.07%,11,12,,90,,,,
南华工业,-7.30%,637,40.84%,6,11,,75,,,,
九通水务,6.73%,30,35.13%,13,无数据,,91,,,,
达瑞生物,2.27%,409,15.67%,15,14,,82,,,,
思晗科技,0.70%,36,28.88%,11,12,,83,,,,
华信股份,0.76%,309,41.79%,7,11,,81,,,,
江苏三鑫,8.95%,52,43.98%,9,12,,92,,,,
景心科技,5.30%,98,35.71%,14,11,,89,,,,
恒信玺利,0.27%,2022,39.35%,14,9,,80,,,,
德信股份,3.57%,107,46.31%,12,10,,87,,,,
中天科盛,3.45%,207,32.16%,14,13,,86,,,,
德胜科技,119.85%,34,72.22%,8,18,,92,,,,
寰烁股份,2.81%,122,58.78%,13,11,,83,,,,
森泰环保,-9.18%,80,69.29%,16,16,,82,,,,
科瑞生物,23.16%,42,43.52%,11,14,,93,,,,
恒源食品,4.92%,67,29.46%,15,13,,89,,,,
骑士乳业,10.78%,2907,69.87%,14,18,,91,,,,
诚栋营地,15.18%,66,56.12%,12,18,,90,,,,
鹿城银行,4.78%,58461,90.99%,14,5,,84,,,,
赛特斯,2.09%,946,25.77%,10,13,,82,,,,
保丽洁,4.13%,228,12.46%,14,13,,87,,,,
昌耀新材,1.44%,151,34.29%,8,17,,84,,,,
索克服务,12.44%,570,44.63%,15,12,,90,,,,
保正股份,20.40%,86,63.67%,13,11,,92,,,,
银钢一通,9.73%,62,53.09%,13,18,,90,,,,
共同管业,2.55%,139,33.54%,9,19,,87,,,,
昆自股份,2.34%,118,67.56%,13,19,,89,,,,
大泽电极,16.62%,66,64.06%,14,11,,92,,,,
紫光新能,-268.96%,1957,87.95%,14,11,,68,,,,
晨越建管,9.47%,318,54.16%,15,10,,86,,,,
奇致激光,6.59%,64,23.40%,14,12,,89,,,,
